Account ID,Account Name,Account Owned By,Account Type,Address,Billing City,Billing Region,Billing State,Close Date,Closed,Created Date,Current Quarter?,Days Left before EOQ,Hide Dates,Industry,Opportunity ID,Opportunity Name,Opportunity Type,Opportunity Type Filter,Product Name,Product Name Filter,Stage,Today,Won,Zip Code,Amount,Customer Count,Discount Granted,Latitude,Longitude,Number of Records,Opportunity Quantity,Sales,Software Sold,Transactions,Unit Price,Weekly Sales,Account Owned By,Close Date,Opportunity Type,Product Name,Today,Current Quarter Quota,Number of Records,Quota
001i0000008rFxEAAU,123 Warehousing,Tara Wang,Gold,"3270 N Hwy 87, Pine, AZ 85544",Pine,Southwest,Arizona,1/8/2011,TRUE,1/8/2011,Other Quarters,31,TRUE,Recreation,006i0000001vt8dAAA,123 Warehousing vt8dAAA  MOL Standard Maintenance,Maintenance,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,85544,196.8,1,18.00%,34.382835,-111.453115,1,2,$0K,0,0,120,$0.00 ,Deepak Ramirez,3/30/2011,Maintenance,MOL Mobile,5/30/2015,$0.0M,1,1143.59
001i0000008rFoZAAU,Mollis LLC,Tara Wang,Gold,"4746 E. Grant Rd., Tucson, AZ 85712",Tucson,Southwest,Arizona,1/10/2011,TRUE,1/3/2011,Other Quarters,31,TRUE,Internet,006i0000001vt8VAAQ,Mollis LLC vt8VAAQ  MOL Standard Software,Software,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,85712,21312,1,26.00%,32.249403,-110.891206,1,36,$0K,36,0,800,$0.00 ,Elissa Sanders,3/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,215.33
001i0000008rG6VAAU,Global Phone Networks(GPN),Fred Jenkins,Gold,"110 N Magnolia Ave, El Cajon, CA 92020",El Cajon,West,California,1/16/2011,TRUE,1/15/2011,Other Quarters,31,TRUE,Technology,006i0000001vt8pAAA,Global Phone Networks(GPN) vt8pAAA  MOL Standard Maintenance,Maintenance,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,92020,1932,1,30.00%,32.79574,-116.962457,1,23,$2K,0,1,120,"$1,932.00 ",Fred Jenkins,3/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,1101.24
001i0000008rG2oAAE,Nec Consulting,Fred Jenkins,Gold,"4101 30th St, San Diego, CA 92104",San Diego,West,California,1/19/2011,TRUE,1/21/2011,Other Quarters,31,TRUE,Healthcare,006i0000001vt8yAAA,Nec Consulting vt8yAAA  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,92104,32536,1,17.00%,32.752411,-117.129905,1,49,$33K,49,1,800,"$32,536.00 ",Jennifer Gonzales,3/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,702.1
001i0000008rCFaAAM,Arcu PC,Fred Jenkins,Gold,"40827 Stone Rd, Big Bear Lake, CA 92315",Big Bear Lake,West,California,1/20/2011,TRUE,1/22/2011,Other Quarters,31,TRUE,Financial Services,006i0000001vt8zAAA,Arcu PC vt8zAAA  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,92315,2184,1,9.00%,34.242542,-116.911031,1,3,$2K,3,1,800,"$2,184.00 ",Jesse Alexander,3/30/2011,Maintenance,MOL Standard,5/30/2015,$0.0M,1,1802.26
001i0000008rFh2AAE,Colonial Movers,Fred Jenkins,Other,"2050 Hwy 4, Arnold, CA 95223",Arnold,West,California,1/22/2011,TRUE,1/17/2011,Other Quarters,31,TRUE,Business Services,006i0000001vt8uAAA,Colonial Movers vt8uAAA  MOL Standard Services,Services,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,95223,10458,1,17.00%,38.242386,-120.361603,1,18,$10K,0,1,700,"$10,458.00 ",Fred Jenkins,3/30/2011,Services,MOL Mobile,5/30/2015,$0.0M,1,3783.78
001i0000008rBmiAAE,Nisl Arcu Consulting,Fred Jenkins,Cloud,"475 N. Lake Blvd, Tahoe City, CA 96145",Tahoe City,West,California,1/30/2011,TRUE,2/1/2011,Other Quarters,31,TRUE,Healthcare,006i0000001vt9JAAQ,Nisl Arcu Consulting vt9JAAQ  MOL Mobile Services,Services,0,MOL Mobile,0,Closed Won,5/30/2015,TRUE,96145,4158,1,1.00%,39.170569,-120.141848,1,7,$4K,0,1,600,"$4,158.00 ",Deepak Ramirez,3/30/2011,Services,MOL Standard,5/30/2015,$0.0M,1,2123.52
001i0000008rBUSAA2,Sem Incorporated,Elissa Sanders,Gold,"105 W Emma St @ VFW Post 1771, Lafayette, CO 80026",Lafayette,West,Colorado,2/2/2011,TRUE,1/28/2011,Other Quarters,31,TRUE,Financial Services,006i0000001vt99AAA,Sem Incorporated vt99AAA  MOL Standard Maintenance,Maintenance,0,MOL Standard,0,Closed Lost,5/30/2015,FALSE,80026,1016.4,1,23.00%,39.993596,-105.089706,1,11,$0K,0,0,120,$0.00 ,Fred Jenkins,3/30/2011,Services,MOL Standard,5/30/2015,$0.0M,1,8889.3
001i0000008rFgJAAU,Foo Bars,Elissa Sanders,Gold,"725 Manitou Ave Ste 3, Manitou Springs, CO 80829",Manitou Springs,West,Colorado,2/8/2011,TRUE,2/6/2011,Other Quarters,31,TRUE,Services,006i0000001vt9TAAQ,Foo Bars vt9TAAQ  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,80829,6120,1,15.00%,38.857144,-104.915668,1,9,$6K,9,1,800,"$6,120.00 ",Jennifer Gonzales,3/30/2011,Services,MOL Standard,5/30/2015,$0.0M,1,6048
001i0000008rEqgAAE,Magnaj Innovation,Elissa Sanders,Gold,"274 Pagosa St, Pagosa Springs, CO 81147",Pagosa Springs,West,Colorado,2/14/2011,TRUE,2/14/2011,Other Quarters,31,TRUE,Oil & Gas,006i0000001vt9dAAA,Magnaj Innovation vt9dAAA  MOL Standard Software,Software,0,MOL Standard,0,Closed Won,5/30/2015,TRUE,81147,20000,1,0.00%,37.268787,-107.007492,1,25,$20K,25,1,800,"$20,000.00 ",Joe Ford,3/30/2011,Services,MOL Standard,5/30/2015,$0.0M,1,12026.7
